DTUTC,QC
07-Jan-2015 16:45:00,1
13-Jan-2015 16:00:00,1
13-Jan-2015 16:15:00,1
13-Jan-2015 16:30:00,1
13-Jan-2015 16:45:00,1
22-Jan-2015 16:15:00,1
13-Feb-2015 16:45:00,1
04-Mar-2015 17:15:01,1
04-Mar-2015 17:30:01,1
09-Mar-2015 16:15:01,1
20-Mar-2015 16:45:01,1
26-Mar-2015 16:15:00,1
14-Apr-2015 18:30:00,1
22-Apr-2015 15:00:00,1
22-Apr-2015 15:15:00,1
22-Apr-2015 15:30:00,1
22-Apr-2015 15:45:00,1
29-Apr-2015 16:15:00,1
05-May-2015 16:30:00,1
14-May-2015 15:00:00,1
14-May-2015 15:15:00,1
14-May-2015 15:30:00,1
29-May-2015 16:30:00,1
02-Jun-2015 19:30:00,1
31-Jul-2015 17:30:00,1
06-Aug-2015 17:30:00,1
14-Aug-2015 17:15:00,1
21-Aug-2015 17:15:00,1
28-Aug-2015 17:30:00,1
28-Aug-2015 17:45:00,1
03-Sep-2015 16:30:00,1
10-Sep-2015 17:00:00,1
18-Sep-2015 16:15:00,1
25-Sep-2015 16:30:00,1
07-Oct-2015 16:15:00,1
16-Oct-2015 16:15:00,1
22-Oct-2015 18:00:00,1
18-Nov-2015 19:45:00,1
18-Nov-2015 20:00:00,1
18-Nov-2015 20:15:00,1
18-Nov-2015 20:30:00,1
18-Nov-2015 20:45:00,1
18-Nov-2015 21:00:00,1
03-Dec-2015 16:45:00,1